Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2018-01-02T05:31:00+00:00;6.8;1.510422;1.651885;0.511976;2.966667;322.33276;0;1032.4
2018-01-05T03:17:00+00:00;13.6;1.6757469999999999;1.680486;0.512581;1.116667;296.04394;0;1020.1502
2018-01-05T03:21:00+00:00;13.7;1.515133;1.672089;0.513984;2.283333;303.50018;0;1020.0334
2018-01-05T03:28:00+00:00;13.8;1.61134;1.662605;0.514085;2.0;306.99482;0;1019.9834
2018-01-05T03:32:00+00:00;13.900002;1.963883;2.216855;0.514182;2.166667;311.82758;0;1019.9
2018-01-05T03:40:00+00:00;13.900002;1.524677;1.672914;0.515787;2.4;313.0;0;1019.8168
2018-01-05T03:42:00+00:00;13.900002;1.436039;1.666935;0.514875;2.433334;307.19586;0;1019.8
2018-01-05T03:48:00+00:00;13.900002;1.629484;1.6761840000000001;0.514879;2.616667;305.67652;0;1019.7334
2018-01-05T03:50:00+00:00;13.900002;1.514059;1.678636;0.516589;2.366667;312.49796;0;1019.7
2018-01-05T03:51:00+00:00;13.900002;1.557893;1.686573;0.5163869999999999;2.4;305.66854;0;1019.7
2018-01-02T04:41:00+00:00;7.0;1.6250930000000001;1.624064;0.506912;3.366667;315.33338;0;1032.5834
2018-01-05T03:54:00+00:00;13.8;1.756055;1.767408;0.516887;2.133334;302.3273;0;1019.7
2018-01-02T04:44:00+00:00;7.0;1.922866;1.634122;0.5060169999999999;3.716667;322.50012;0;1032.5
2018-01-01T00:41:00+00:00;9.1;1.883762;1.649568;0.511143;1.85;28.33328;0;1031.2002
2018-01-01T04:57:00+00:00;6.700001;1.7730709999999998;1.6407180000000001;0.509126;3.833333;315.16654;0;1031.45
2018-01-01T04:47:00+00:00;6.733333;1.6248779999999998;1.643074;0.506412;3.766667;320.83326;0;1031.5
2018-01-01T08:15:00+00:00;7.55;38.408864;16.736466;2.976135;1.016667;311.29432;0;1032.7834
2018-01-01T01:10:00+00:00;9.233334;2.491768;2.471965;0.504877;2.933334;325.3349;0;1031.3168
2018-01-02T01:36:00+00:00;8.2;1.367456;1.642448;0.506741;3.166667;320.00036;0;1033.1
2018-01-01T01:42:00+00:00;8.316667;1.624731;1.6180089999999998;0.5098929999999999;3.866667;309.49836;0;1032.0
2018-01-02T02:03:00+00:00;8.2;2.086024;1.845961;0.511253;3.533334;320.33124;0;1033.1
2018-01-01T01:02:00+00:00;9.5;1.619221;1.639151;0.5069779999999999;2.883333;324.1668;0;1031.2334
2018-01-02T10:22:00+00:00;14.5;402.05436;66.538756;20.651464;1.166667;8.149083;0;1034.7002
2018-01-02T11:15:00+00:00;15.416668;501.20572;68.686576;26.713028;0.833333;53.701624;0;1034.5
2018-01-02T11:31:00+00:00;15.566668;528.9976;81.667376;27.956094;0.48333299999999996;235.23002;0;1034.2002
2018-01-02T11:44:00+00:00;16.05;537.30928;71.558152;28.897444;0.783333;291.27526;0;1033.8666
